org_id,node_slug,role,evidence_url,evidence_note,batch,created_by,reviewed_by,last_verified,human_verified
americans-for-responsible-innovation-ari,meta.communications.advocacy,primary,https://ari.us/,One of the larger advocacy organisations in Washington lobbying for federal AI safety legislation.,review-meta,review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
controlai,meta.communications.advocacy,primary,https://aiweekly.co/alerts/controlai-runs-hundreds-of-hill-meetings-on-ai-extinction-risk,UK/US advocacy org running direct policymaker meetings (reported hundreds of Hill/Westminster meetings) campaigning against loss-of-control from superintelligent AI.,b11,agent-2026-09-21,,2026-09-21,false
encode,meta.communications.advocacy,primary,https://encodeai.org/,"Youth-led DC advocacy shop; sponsored California SB 53 and backed Illinois SB 315 and New York's RAISE Act in 2026, plus earlier amicus-brief work.",b11,agent-2026-09-21,,2026-09-21,false
future-of-life-institute-fli,meta.communications.advocacy,primary,https://futureoflife.org/our-work/outreach-work/,"Runs a dedicated outreach/communications function and has launched a multimillion-dollar nationwide AI regulation campaign, alongside its funding and international-policy work.",b11,agent-2026-09-21,,2026-09-21,false
pauseai,meta.communications.advocacy,primary,https://pauseai.info/protest-london-feb-2026,"Grassroots movement running public protests (largest-yet London protest reported February 2026, plus a Brussels European Parliament demonstration) and policymaker letters for a pause on frontier training.",b11,agent-2026-09-21,,2026-09-21,false
center-for-ai-and-digital-policy-caidp,meta.communications.advocacy,secondary,https://www.caidp.org/reports/ai-red-lines/,"AI Red Lines report campaigns for specific prohibited AI uses, distinct from CAIDP's country-scoring research.",b12,agent-2026-09-21,,2026-09-21,false
machine-intelligence-research-institute-miri,meta.communications.advocacy,secondary,https://intelligence.org,"Originally a research org, MIRI has substantially pivoted toward public communication and policy, most visibly via its 2025 book 'If Anyone Builds It, Everyone Dies' and associated media campaign.",b11,agent-2026-09-21,,2026-09-21,false
secure-ai-project,meta.communications.advocacy,secondary,https://secureaiproject.org/,Advocates for US state AI safety legislation.,review-meta,review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
aisafety-info,meta.communications.public-explanation,primary,https://aisafety.info/about,"Volunteer-run, Rob-Miles-founded FAQ/explainer database aimed at people with no background, maintained under the Ashgro nonprofit.",b11,agent-2026-09-21,,2026-09-21,false
tarbell-center-for-ai-journalism,meta.communications.public-explanation,primary,https://www.transformernews.ai/about,"Tarbell Center publishes Transformer, a daily-ish AI politics/policy/risk newsletter edited by professional journalists, and separately places fellows in mainstream newsrooms (Bloomberg, The Guardian, NBC News) to build an AI beat there.",b11,agent-2026-09-21,,2026-09-21,false
the-ai-safety-foundation,meta.communications.public-explanation,primary,https://aisfoundation.ai/about,"Canadian charity running The Hinton Lectures, the CJF Hinton Award and AI Safety Week, aimed explicitly at general-public and cross-community education rather than an already-engaged audience; board includes Geoffrey Hinton.",b11,agent-2026-09-21,,2026-09-21,false
