org_id,name,url,type,hq_country,hq_city,region,founded_year,size_band,funding_model,primary_focus,focus_tags,problem_description,notable_outputs,status,confidence,source_urls,commercial_model,approachability,source,notes,created_by,reviewed_by,last_verified,human_verified
80-000-hours,"80,000 Hours",https://80000hours.org,field-building,UK,unknown,Europe,2011,unknown,unknown,Career advice and job board for high-impact careers including AI safety,field-building;prioritisation,"Publishes career reviews and problem-area rankings, including a continuously updated AI safety fieldbuilding review, and runs a widely used job board that functions as an entry point into the field.",AI safety fieldbuilding career review; job board,active,high,https://80000hours.org/career-reviews/ai-safety-fieldbuilding/,nonprofit,hiring;fellowship-or-programme;publishes-open-problems,new_org:b10,,agent-2026-09-21,,2026-09-21,false
abliteration-ai,abliteration.ai,https://abliteration.ai,for-profit-startup,unknown,unknown,unknown,2026,unknown,commercial,"Commercial 'unrestricted AI API' selling refusal-free, safeguard-stripped models",open-weights-risk,"Sells API access to models with safety refusals removed, marketed for red-teaming and unrestricted use; reported by TechCrunch (Sept 2026) as commercialising guardrail removal. Tagged as the subject of misuse.open-weights.uncensored-model-supply, not as a safety actor.",Unrestricted AI API product,active,medium,https://techcrunch.com/2026/09/03/abliteration-ai-is-making-a-business-out-of-removing-ai-guardrails/; https://abliteration.ai,commercial-product,unknown,new_org:b04,Headquarters not confirmed (b04).,agent-2026-09-21,,2026-09-21,false
access-now,Access Now,https://www.accessnow.org,advocacy,US,unknown,North America,unknown,unknown,unknown,,,Runs a dedicated AI programme covering surveillance harms and operates the Digital Security Helpline for targeted individuals.,,active,medium,https://www.accessnow.org/artificial-intelligence/,nonprofit,open-to-collaborators,tag-only:b06,minimal record built from a batch tag; the batch supplied no new_org row,agent-2026-09-21,,2026-09-21,false
acm-facct,ACM FAccT,https://facctconference.org,academic,US,New York,North America,2018,unknown,mixed,"Annual interdisciplinary conference and community on fairness, accountability and transparency in sociotechnical systems",fairness-bias,"The leading annual interdisciplinary academic venue and community for research on fairness, accountability and transparency in AI and algorithmic systems, predating the current AI safety field and continuing to cover the deployed, LLM-era version of these problems.",Annual peer-reviewed proceedings; FAccT 2026 in Montreal covering deepfakes and AI companions,active,high,https://facctconference.org/; https://www.acm.org/media-center/2026/june/facct-2026,nonprofit,publishes-open-problems,new_org:b09,,agent-2026-09-21,,2026-09-21,false
active-site,Active Site,unknown,nonprofit-research,unknown,unknown,unknown,unknown,unknown,unknown,,,"Research nonprofit that ran the first large randomised controlled trial of frontier-AI uplift for novices in wet-lab molecular biology (153 participants, mid-2025 models; no significant end-to-end uplift).",,active,low,https://arxiv.org/abs/2602.16703,nonprofit,unknown,review-2026-09-23:misuse,"Created from a review edit (misuse[61], 2026-09-23); only the fields evident from the edit are filled, and type, country and funding model need checking. No homepage recorded in the review; evidence is its arXiv paper.",review-2026-09-23,opus-review-2026-09-23,2026-09-23,false
ada-lovelace-institute,Ada Lovelace Institute,https://adalovelaceinstitute.org,think-tank,UK,London,UK,2018,21-50,philanthropic,Independent research on data and AI governance,policy-domestic;standards,"Independent UK research institute examining how data and AI systems affect people and society, informing regulation.",Research on AI regulation and public attitudes,active,high,https://adalovelaceinstitute.org,nonprofit,hiring;publishes-open-problems,seed,,agent-2026-09-21,,2026-09-21,false
advanced-research-plus-invention-agency-aria,Advanced Research + Invention Agency (ARIA),https://aria.org.uk,government,UK,London,UK,2023,51-200,government,UK research funder running the Safeguarded AI programme,funding;safety-cases;compute-governance,UK government research funding agency running the Safeguarded AI programme to develop formally verifiable safety guarantees for AI systems.,Safeguarded AI programme funded projects,active,high,https://aria.org.uk,government,closed,seed,,agent-2026-09-21,,2026-09-21,false
adversa-ai,Adversa AI,https://adversa.ai,for-profit-startup,Israel,Tel Aviv,Other,2019,1-5,commercial,Adversarial robustness research and red-teaming,red-teaming;model-security,"Researches adversarial attacks on AI systems and offers red-teaming assessments, with published attack taxonomies.",Secure AI trends reports; adversarial ML research,active,medium,https://adversa.ai,commercial-product,unknown,seed,,agent-2026-09-21,,2026-09-21,false
ae-studio,AE Studio,https://ae.studio,for-profit-startup,US,Los Angeles,North America,2013,51-200,commercial,Alignment research team embedded in a product studio,alignment;interpretability,Product studio that funds an in-house alignment research team pursuing neglected technical safety directions such as brain-computer-interface-inspired approaches.,Published alignment research alongside commercial product work,active,medium,https://ae.studio,commercial-services,unknown,seed,,agent-2026-09-21,,2026-09-21,false
aether,Aether,https://aether-ai-research.org,nonprofit-research,Other,Global,Other,2023,1-5,philanthropic,Technical alignment research,alignment,Independent LLM agent safety research group studying failure modes and safety properties of autonomous LLM agents.,unknown,unknown,medium,https://aether-ai-research.org/; https://www.lesswrong.com/posts/WsDsGRTKBCrujwbKd/apply-to-aether-independent-llm-agent-safety-research-group,nonprofit,publishes-open-problems,seed,,agent-2026-09-21,,2026-09-21,false
